Term	Notes	Korean	Japanese	English	Chinese (Simplified)	Chinese (Traditional)
ba_gacha1_booster_name		학생 모집 (1회)	学生募集(1回)	Student Recruit (x1)	学生招募 (1次)	學生招募 (1次)
ba_kasumizawa_miyu_name		미유	ミユ	Miyu	霞泽美游	霞澤美遊
ba_kasumizawa_miyu_description		SRT 특수학원, RABBIT 소속 카스미자와...... 미유, 입니다......	SRT特殊学園、RABBIT小隊の霞沢ミユ、です……	Th-This is SRT Special Academy. RABBIT Squad's Kasumizawa Miyu...	明天将吹起明日之风......	明天將吹起明日之風......
ba_gsc_president_name		총학생회장	連邦生徒会長	GSC President	联邦学生会主席	聯邦學生會長
ba_gsc_president_description		실종된 총학생회장, 정체를 알 수 없다	行方不明になった連邦生徒会長、正体が分からない。	The missing GSC President, identity unknown.	失踪的联邦学生会主席，身份不明。	失蹤的聯邦學生會會長，身份不明。
ba_tendou_aris_name		아리스	アリス	Aris	天童爱丽丝	天童愛麗絲
ba_tendou_aris_description		빛------ 이여-------!	ひか------りよ-------!	Hi------kari Yo-------!	勇士啊。光芒与你同在。	勇士啊。光芒與你同在。
ba_takanashi_hoshino_name		호시노	ホシノ	Hoshino	小鸟游星野	小鳥遊星野
ba_takanashi_hoshino_description		으헤~ 어쩔 수 없나~ 이 아저씨가 나설 차례인가?	うへ～仕方ないか～このおじさんの出番か？	Uhe~, what a pain...	呼啊～啊。适可而止吧，毕竟悠闲很重要。	呼啊～啊。适可而止吧，毕竟悠闲很重要。
ba_sorasaki_hina_name		히나	ヒナ	Hina	空崎阳奈	空崎陽奈
ba_sorasaki_hina_description		귀찮아... 귀찮지만 할 일은 해야겠지. 그게 내 의무니까.	面倒くさい···面倒くさいけど、やるべきことはしなきゃ。 それが私の義務だから。	It's troublesome... It's troublesome, but you have to do what you have to do. Because that's my duty.	虽然很麻烦，不过必须做该做的事，因为那就是我的义务	雖然很麻煩，不過必須做該做的事，因為那就是我的義務
ba_shimoe_koharu_name		코하루	コハル	Koharu	下江小春	下江小春
